numThreads,totalTime,totalTime,selectionTime,mutationTime,crossoverTime
10,2.96176,0.0187692,2.16899,0.185015,0.522633
10,2.88333,0.0184861,2.12727,0.207677,0.46952
10,2.78563,0.0180808,2.08499,0.184937,0.460602
10,2.79412,0.0181277,2.08784,0.184924,0.464708
10,2.85916,0.0180551,2.13082,0.183846,0.46409
10,2.9585,0.0192695,2.23387,0.182318,0.451716
10,2.97926,0.0193776,2.2048,0.18537,0.495713
10,2.95808,0.0192795,2.19569,0.185127,0.482602
10,2.96968,0.0190371,2.24605,0.183471,0.44584
10,2.76407,0.0175667,2.06571,0.187715,0.431365
10,2.75623,0.0179794,2.06034,0.18031,0.437371
10,2.80283,0.0183442,2.09063,0.187841,0.440016
10,3.00644,0.0196438,2.21633,0.183747,0.517781
10,2.85099,0.0197941,2.10745,0.191086,0.463647
10,2.85886,0.0197497,2.13148,0.194751,0.449512
10,2.84373,0.0179578,2.06533,0.185543,0.514452
10,2.75474,0.0178229,2.06367,0.184061,0.42943
10,2.76621,0.0184618,2.0699,0.186834,0.426406
